label,area,solidity,circularity,ellipse_iou,ellipse_area_ratio,ellipse_axis_ratio,score,candidate
35,2670,0.8371,0.3121,0.6668,0.7545,4.7729,0.5452,False
80,5537,0.6444,0.2859,0.5323,0.6220,1.8500,0.5371,False
8,9706,0.6351,0.2625,0.5025,0.6148,1.6910,0.5214,False
41,320,0.7824,0.2313,0.6511,0.7565,6.4744,0.5210,False
14,17,0.0000,0.2086,1.0000,1.0000,4023.0054,0.5209,False
37,32,1.1034,0.3155,0.5172,0.5714,5.8898,0.5190,False
63,803,0.7370,0.3457,0.5785,0.6544,3.4043,0.4826,False
62,7581,0.7200,0.3183,0.5692,0.6536,2.7472,0.4731,False
91,4,0.0000,1.3963,0.6667,0.6667,14420.2670,0.4730,False
77,1406,0.5822,0.2031,0.5569,0.6760,4.2415,0.4331,False
31,2703,0.6658,0.2573,0.4872,0.5564,3.0432,0.4129,False
96,265,0.6170,0.2605,0.2626,0.3264,2.3899,0.3903,False
51,5,0.0000,0.9817,0.5556,0.5556,10746.9971,0.3760,False
69,12,1.3333,0.5175,0.0893,0.1091,5.9175,0.3660,False
70,3328,0.5463,0.2668,0.1586,0.2179,1.1648,0.3241,False
66,3,0.0000,2.3562,0.0000,0.0000,0.0000,0.2356,False
36,3,0.0000,1.1781,0.0000,0.0000,0.0000,0.1178,False
13,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
34,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
57,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
64,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
65,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
76,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
90,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
93,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
102,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
